10-0[1],10-1[1],10-2[1],10-3[1],10-4[1],10-5[1],10-6[1],10-7[1],10-8[1],10-9[1],10-10[1],10-11[1],10-12[1],10-13[1],10-14[1],10-15[1]
11-0[1],11-1[1],11-2[1],11-3[1],11-4[1],11-5[1],11-6[1],11-7[1],11-8[1],11-9[1],11-10[1],11-11[1],11-12[1],11-13[1],11-14[1],11-15[1]
20-15[1],20-14[1],20-13[1],20-12[1],20-11[1],20-10[1],20-9[1],20-8[1],20-7[1],20-6[1],20-5[1],20-4[1],20-3[1],20-2[1],20-1[1],20-0[1]
1-0[0],1-1[0],60-0[4],61-0[4],50-0[4],51-0[4],40-0[4],41-0[4],--,--,--,--,--,2-0[0],2-1[0],2-2[0]
30-0[1],30-1[1],30-2[1],30-3[1],30-4[1],30-5[1],30-6[1],30-7[1],30-8[1],30-9[1],30-10[1],30-11[1],30-12[1],30-13[1],30-14[1],30-15[1]
31-15[1],31-14[1],31-13[1],31-12[1],31-11[1],31-10[1],31-9[1],31-8[1],31-0[1],31-1[1],31-2[1],31-3[1],31-4[1],31-5[1],31-6[1],31-7[1]
12-0[1],22-0[1],--,--,12-1[1],12-2[1],22-1[1],32-0[1],--,22-2[1],32-1[1],42-0[1],--,--,62-0[1],52-0[1]
,,,,,,,,,,,,,,,
"(12, 2, 7, 1) = CRIB, J1TDC, TDC, geo=1",,,,,,,,,,,,,,,
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21-15[1],21-14[1],21-13[1],21-12[1],21-11[1],21-10[1],21-9[1],21-8[1],21-0[1],21-1[1],21-2[1],21-3[1],21-4[1],21-5[1],21-6[1],21-7[1]
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,
"(12, 2, 60, 0) = CRIB, J1TDC, TIMESTAMP, geo=0",,,,,,,,,,,,,,,
101-2[0],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"(12, 2, 63, 0) = CRIB, J1TDC, SCALER, geo=0",,,,,,,,,,,,,,,
100-0[0],100-1[0],100-2[0],100-3[0],100-4[0],100-5[0],100-6[0],100-7[0],100-8[0],100-9[0],100-10[0],100-11[0],100-12[0],100-13[0],100-14[0],100-15[0]
100-16[0],100-17[0],100-18[0],100-19[0],100-20[0],100-21[0],100-22[0],100-23[0],100-24[0],100-25[0],100-26[0],100-27[0],100-28[0],100-29[0],100-30[0],100-31[0]
,,,,,,,,,,,,,,,
