# tel4/dEY.dat is created from AlphaCalibration.C
# offset gain
0.0388431 0.00162115
0.0495183 0.00163137
0.0428233 0.00165086
0.0442656 0.00168014
0.0524346 0.00163525
0.046571 0.00169556
0.046133 0.00165587
0.0590263 0.00166915
0.0481438 0.0016789
0.0470202 0.00166311
0.0436562 0.00165303
0.0436091 0.00163535
0.0392597 0.00167475
0.0320345 0.00159707
0.0271741 0.00167815
0.0245586 0.00163324
