 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13+_in_Mylar.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   2.514E+03  1.240E+01    4.87 um     2150 A      2752 A   
   8.00 MeV   2.634E+03  1.112E+01    5.26 um     2233 A      2808 A   
   9.00 MeV   2.730E+03  1.009E+01    5.63 um     2306 A      2856 A   
  10.00 MeV   2.808E+03  9.251E+00    5.99 um     2373 A      2899 A   
  11.00 MeV   2.870E+03  8.548E+00    6.34 um     2434 A      2938 A   
  12.00 MeV   2.919E+03  7.951E+00    6.68 um     2490 A      2973 A   
  13.00 MeV   2.957E+03  7.438E+00    7.02 um     2544 A      3006 A   
  14.00 MeV   2.985E+03  6.991E+00    7.36 um     2595 A      3037 A   
  15.00 MeV   3.004E+03  6.598E+00    7.69 um     2644 A      3066 A   
  16.00 MeV   3.015E+03  6.250E+00    8.02 um     2692 A      3094 A   
  17.00 MeV   3.021E+03  5.939E+00    8.35 um     2738 A      3120 A   
  18.00 MeV   3.021E+03  5.660E+00    8.68 um     2783 A      3145 A   
  20.00 MeV   3.009E+03  5.178E+00    9.34 um     2947 A      3193 A   
  22.50 MeV   2.978E+03  4.686E+00   10.18 um     3185 A      3250 A   
  25.00 MeV   2.935E+03  4.284E+00   11.02 um     3412 A      3305 A   
  27.50 MeV   2.886E+03  3.950E+00   11.88 um     3631 A      3357 A   
  30.00 MeV   2.834E+03  3.667E+00   12.75 um     3844 A      3408 A   
  32.50 MeV   2.780E+03  3.424E+00   13.64 um     4053 A      3459 A   
  35.00 MeV   2.725E+03  3.213E+00   14.55 um     4260 A      3509 A   
  37.50 MeV   2.671E+03  3.028E+00   15.47 um     4465 A      3559 A   
  40.00 MeV   2.619E+03  2.864E+00   16.42 um     4668 A      3609 A   
  45.00 MeV   2.517E+03  2.588E+00   18.36 um     5433 A      3709 A   
  50.00 MeV   2.422E+03  2.362E+00   20.38 um     6154 A      3812 A   
  55.00 MeV   2.354E+03  2.175E+00   22.48 um     6840 A      3916 A   
  60.00 MeV   2.288E+03  2.017E+00   24.63 um     7499 A      4022 A   
  65.00 MeV   2.211E+03  1.881E+00   26.85 um     8143 A      4131 A   
  70.00 MeV   2.141E+03  1.763E+00   29.15 um     8778 A      4244 A   
  80.00 MeV   2.015E+03  1.569E+00   33.96 um     1.11 um     4478 A   
  90.00 MeV   1.907E+03  1.416E+00   39.06 um     1.33 um     4727 A   
 100.00 MeV   1.812E+03  1.291E+00   44.43 um     1.53 um     4990 A   
 110.00 MeV   1.728E+03  1.187E+00   50.08 um     1.73 um     5268 A   
 120.00 MeV   1.652E+03  1.100E+00   56.00 um     1.92 um     5560 A   
 130.00 MeV   1.585E+03  1.025E+00   62.18 um     2.11 um     5866 A   
 140.00 MeV   1.523E+03  9.601E-01   68.61 um     2.30 um     6186 A   
 150.00 MeV   1.467E+03  9.034E-01   75.30 um     2.49 um     6520 A   
 160.00 MeV   1.415E+03  8.533E-01   82.24 um     2.68 um     6867 A   
 170.00 MeV   1.367E+03  8.087E-01   89.42 um     2.87 um     7227 A   
