 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12+_in_Mylar.txt

 Ion = Magnesium [12] , Mass = 23.9785 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   2.179E+03  9.314E+00    5.68 um     2736 A      3585 A   
   7.00 MeV   2.233E+03  8.763E+00    5.90 um     2763 A      3616 A   
   8.00 MeV   2.319E+03  7.849E+00    6.34 um     2845 A      3670 A   
   9.00 MeV   2.384E+03  7.118E+00    6.76 um     2920 A      3717 A   
  10.00 MeV   2.432E+03  6.520E+00    7.18 um     2988 A      3759 A   
  11.00 MeV   2.466E+03  6.021E+00    7.58 um     3052 A      3798 A   
  12.00 MeV   2.488E+03  5.598E+00    7.98 um     3113 A      3833 A   
  13.00 MeV   2.502E+03  5.233E+00    8.38 um     3172 A      3866 A   
  14.00 MeV   2.508E+03  4.917E+00    8.78 um     3229 A      3897 A   
  15.00 MeV   2.508E+03  4.639E+00    9.18 um     3284 A      3926 A   
  16.00 MeV   2.503E+03  4.392E+00    9.58 um     3338 A      3954 A   
  17.00 MeV   2.493E+03  4.172E+00    9.98 um     3392 A      3981 A   
  18.00 MeV   2.481E+03  3.975E+00   10.38 um     3445 A      4007 A   
  20.00 MeV   2.450E+03  3.634E+00   11.19 um     3642 A      4058 A   
  22.50 MeV   2.402E+03  3.287E+00   12.22 um     3934 A      4118 A   
  25.00 MeV   2.350E+03  3.003E+00   13.27 um     4216 A      4177 A   
  27.50 MeV   2.297E+03  2.768E+00   14.34 um     4493 A      4234 A   
  30.00 MeV   2.243E+03  2.568E+00   15.44 um     4765 A      4291 A   
  32.50 MeV   2.191E+03  2.397E+00   16.57 um     5034 A      4348 A   
  35.00 MeV   2.140E+03  2.249E+00   17.72 um     5302 A      4404 A   
  37.50 MeV   2.091E+03  2.119E+00   18.90 um     5568 A      4461 A   
  40.00 MeV   2.043E+03  2.004E+00   20.11 um     5834 A      4519 A   
  45.00 MeV   1.955E+03  1.809E+00   22.61 um     6838 A      4637 A   
  50.00 MeV   1.886E+03  1.651E+00   25.21 um     7781 A      4758 A   
  55.00 MeV   1.826E+03  1.519E+00   27.90 um     8678 A      4883 A   
  60.00 MeV   1.758E+03  1.408E+00   30.69 um     9547 A      5012 A   
  65.00 MeV   1.695E+03  1.313E+00   33.59 um     1.04 um     5146 A   
  70.00 MeV   1.637E+03  1.231E+00   36.59 um     1.12 um     5285 A   
  80.00 MeV   1.534E+03  1.095E+00   42.90 um     1.44 um     5580 A   
  90.00 MeV   1.445E+03  9.873E-01   49.61 um     1.73 um     5898 A   
 100.00 MeV   1.367E+03  8.998E-01   56.72 um     2.00 um     6238 A   
 110.00 MeV   1.298E+03  8.273E-01   64.23 um     2.27 um     6601 A   
 120.00 MeV   1.237E+03  7.661E-01   72.11 um     2.53 um     6986 A   
 130.00 MeV   1.182E+03  7.138E-01   80.38 um     2.79 um     7394 A   
 140.00 MeV   1.131E+03  6.685E-01   89.03 um     3.05 um     7823 A   
 150.00 MeV   1.086E+03  6.288E-01   98.04 um     3.31 um     8274 A   
 160.00 MeV   1.044E+03  5.939E-01  107.43 um     3.57 um     8746 A   
 170.00 MeV   1.005E+03  5.627E-01  117.19 um     3.83 um     9239 A   
 180.00 MeV   9.697E+02  5.349E-01  127.32 um     4.09 um     9752 A   
 200.00 MeV   9.059E+02  4.870E-01  148.65 um     5.09 um     1.08 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  8.6729E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
