 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12+_in_He50torr.txt

 Ion = Magnesium [12] , Mass = 23.9785 amu

 Target Density =  1.0699E-05 g/cm3 = 1.6095E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.843E-04  3.214E-03    2.81 mm   532.82 um   451.07 um  
  11.00 keV   4.030E-04  3.173E-03    3.07 mm   575.26 um   487.50 um  
  12.00 keV   4.210E-04  3.130E-03    3.33 mm   617.45 um   523.84 um  
  13.00 keV   4.381E-04  3.088E-03    3.59 mm   659.44 um   560.14 um  
  14.00 keV   4.547E-04  3.046E-03    3.86 mm   701.25 um   596.43 um  
  15.00 keV   4.706E-04  3.004E-03    4.12 mm   742.92 um   632.73 um  
  16.00 keV   4.861E-04  2.963E-03    4.40 mm   784.47 um   669.08 um  
  17.00 keV   5.010E-04  2.922E-03    4.67 mm   825.91 um   705.48 um  
  18.00 keV   5.156E-04  2.883E-03    4.94 mm   867.24 um   741.96 um  
  20.00 keV   5.435E-04  2.806E-03    5.50 mm   951.04 um   815.21 um  
  22.50 keV   5.764E-04  2.716E-03    6.21 mm     1.06 mm   907.36 um  
  25.00 keV   6.076E-04  2.631E-03    6.93 mm     1.16 mm     1.00 mm  
  27.50 keV   6.373E-04  2.552E-03    7.67 mm     1.26 mm     1.09 mm  
  30.00 keV   6.656E-04  2.478E-03    8.41 mm     1.37 mm     1.19 mm  
  32.50 keV   6.928E-04  2.409E-03    9.17 mm     1.47 mm     1.28 mm  
  35.00 keV   7.189E-04  2.344E-03    9.94 mm     1.57 mm     1.38 mm  
