 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13+_in_He150torr.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  3.2096E-05 g/cm3 = 4.8284E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   4.161E-02  4.949E-04  138.68 mm     5.78 mm     7.48 mm  
   3.00 MeV   4.421E-02  4.615E-04  144.43 mm     5.86 mm     7.57 mm  
   3.25 MeV   4.661E-02  4.327E-04  149.87 mm     5.93 mm     7.65 mm  
   3.50 MeV   4.883E-02  4.075E-04  155.06 mm     5.99 mm     7.72 mm  
   3.75 MeV   5.088E-02  3.853E-04  160.02 mm     6.05 mm     7.79 mm  
   4.00 MeV   5.278E-02  3.656E-04  164.80 mm     6.10 mm     7.84 mm  
   4.50 MeV   5.617E-02  3.321E-04  173.91 mm     6.26 mm     7.94 mm  
   5.00 MeV   5.909E-02  3.045E-04  182.53 mm     6.40 mm     8.03 mm  
   5.50 MeV   6.162E-02  2.815E-04  190.76 mm     6.52 mm     8.10 mm  
   6.00 MeV   6.382E-02  2.620E-04  198.69 mm     6.63 mm     8.16 mm  
   6.50 MeV   6.574E-02  2.452E-04  206.37 mm     6.73 mm     8.22 mm  
   7.00 MeV   6.742E-02  2.305E-04  213.85 mm     6.83 mm     8.27 mm  
   8.00 MeV   7.019E-02  2.062E-04  228.33 mm     7.15 mm     8.36 mm  
   9.00 MeV   7.233E-02  1.868E-04  242.31 mm     7.43 mm     8.44 mm  
  10.00 MeV   7.399E-02  1.710E-04  255.94 mm     7.69 mm     8.51 mm  
  11.00 MeV   7.526E-02  1.578E-04  269.30 mm     7.93 mm     8.57 mm  
  12.00 MeV   7.622E-02  1.466E-04  282.47 mm     8.16 mm     8.63 mm  
  13.00 MeV   7.691E-02  1.370E-04  295.50 mm     8.37 mm     8.68 mm  
  14.00 MeV   7.740E-02  1.286E-04  308.44 mm     8.58 mm     8.73 mm  
  15.00 MeV   7.770E-02  1.213E-04  321.31 mm     8.78 mm     8.78 mm  
  16.00 MeV   7.786E-02  1.148E-04  334.14 mm     8.97 mm     8.82 mm  
  17.00 MeV   7.788E-02  1.090E-04  346.96 mm     9.16 mm     8.86 mm  
  18.00 MeV   7.781E-02  1.038E-04  359.79 mm     9.34 mm     8.90 mm  
  20.00 MeV   7.739E-02  9.484E-05  385.52 mm    10.04 mm     8.98 mm  
  22.50 MeV   7.652E-02  8.571E-05  417.97 mm    11.05 mm     9.07 mm  
  25.00 MeV   7.538E-02  7.828E-05  450.85 mm    12.00 mm     9.16 mm  
  27.50 MeV   7.408E-02  7.209E-05  484.27 mm    12.90 mm     9.24 mm  
  30.00 MeV   7.267E-02  6.686E-05  518.32 mm    13.78 mm     9.32 mm  
  32.50 MeV   7.120E-02  6.238E-05  553.04 mm    14.64 mm     9.40 mm  
  35.00 MeV   6.972E-02  5.850E-05  588.50 mm    15.48 mm     9.48 mm  
  37.50 MeV   6.823E-02  5.509E-05  624.71 mm    16.31 mm     9.56 mm  
  40.00 MeV   6.677E-02  5.208E-05  661.73 mm    17.14 mm     9.64 mm  
  45.00 MeV   6.392E-02  4.700E-05  738.22 mm    20.28 mm     9.81 mm  
  50.00 MeV   6.124E-02  4.286E-05  818.10 mm    23.23 mm     9.98 mm  
  55.00 MeV   5.923E-02  3.943E-05  901.08 mm    26.04 mm    10.15 mm  
  60.00 MeV   5.672E-02  3.653E-05  987.30 mm    28.76 mm    10.33 mm  
  65.00 MeV   5.465E-02  3.405E-05    1.08 m     31.45 mm    10.52 mm  
  70.00 MeV   5.272E-02  3.190E-05    1.17 m     34.10 mm    10.71 mm  
  80.00 MeV   4.927E-02  2.836E-05    1.37 m     43.98 mm    11.13 mm  
  90.00 MeV   4.629E-02  2.556E-05    1.58 m     53.04 mm    11.59 mm  
 100.00 MeV   4.368E-02  2.329E-05    1.80 m     61.68 mm    12.08 mm  
 110.00 MeV   4.139E-02  2.140E-05    2.03 m     70.09 mm    12.62 mm  
 120.00 MeV   3.936E-02  1.981E-05    2.28 m     78.37 mm    13.20 mm  
 130.00 MeV   3.754E-02  1.845E-05    2.54 m     86.59 mm    13.81 mm  
 140.00 MeV   3.591E-02  1.728E-05    2.81 m     94.79 mm    14.47 mm  
 150.00 MeV   3.442E-02  1.625E-05    3.10 m    102.98 mm    15.17 mm  
 160.00 MeV   3.307E-02  1.534E-05    3.39 m    111.20 mm    15.91 mm  
 170.00 MeV   3.182E-02  1.453E-05    3.70 m    119.46 mm    16.68 mm  
 180.00 MeV   3.067E-02  1.381E-05    4.02 m    127.77 mm    17.50 mm  
 200.00 MeV   2.860E-02  1.257E-05    4.70 m    159.57 mm    19.24 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.1158E+02                keV / (ug/cm2) 
  3.1158E+02                MeV / (mg/cm2) 
  3.1158E+05                keV / (mg/cm2) 
  2.0711E+03                 eV / (1E15 atoms/cm2)
  2.9136E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
