 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13+_in_Mylar.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   2.242E+03  1.115E+01    5.40 um     2553 A      3328 A   
   7.00 MeV   2.307E+03  1.049E+01    5.62 um     2580 A      3362 A   
   8.00 MeV   2.416E+03  9.401E+00    6.04 um     2663 A      3420 A   
   9.00 MeV   2.501E+03  8.529E+00    6.44 um     2737 A      3471 A   
  10.00 MeV   2.567E+03  7.816E+00    6.84 um     2804 A      3515 A   
  11.00 MeV   2.618E+03  7.220E+00    7.22 um     2866 A      3555 A   
  12.00 MeV   2.655E+03  6.714E+00    7.60 um     2924 A      3592 A   
  13.00 MeV   2.682E+03  6.279E+00    7.97 um     2980 A      3626 A   
  14.00 MeV   2.699E+03  5.900E+00    8.34 um     3033 A      3658 A   
  15.00 MeV   2.709E+03  5.568E+00    8.71 um     3085 A      3689 A   
  16.00 MeV   2.712E+03  5.273E+00    9.08 um     3135 A      3717 A   
  17.00 MeV   2.710E+03  5.010E+00    9.45 um     3184 A      3745 A   
  18.00 MeV   2.704E+03  4.773E+00    9.82 um     3232 A      3771 A   
  20.00 MeV   2.683E+03  4.366E+00   10.56 um     3409 A      3822 A   
  22.50 MeV   2.643E+03  3.950E+00   11.49 um     3670 A      3882 A   
  25.00 MeV   2.596E+03  3.610E+00   12.45 um     3921 A      3939 A   
  27.50 MeV   2.545E+03  3.328E+00   13.42 um     4165 A      3995 A   
  30.00 MeV   2.493E+03  3.088E+00   14.41 um     4405 A      4050 A   
  32.50 MeV   2.441E+03  2.883E+00   15.42 um     4641 A      4104 A   
  35.00 MeV   2.389E+03  2.705E+00   16.45 um     4875 A      4158 A   
  37.50 MeV   2.339E+03  2.549E+00   17.51 um     5108 A      4212 A   
  40.00 MeV   2.290E+03  2.411E+00   18.59 um     5340 A      4266 A   
  45.00 MeV   2.198E+03  2.178E+00   20.82 um     6216 A      4376 A   
  50.00 MeV   2.113E+03  1.987E+00   23.13 um     7042 A      4488 A   
  55.00 MeV   2.060E+03  1.830E+00   25.53 um     7828 A      4602 A   
  60.00 MeV   1.993E+03  1.696E+00   27.99 um     8583 A      4719 A   
  65.00 MeV   1.926E+03  1.582E+00   30.54 um     9324 A      4840 A   
  70.00 MeV   1.865E+03  1.483E+00   33.18 um     1.01 um     4965 A   
  80.00 MeV   1.755E+03  1.319E+00   38.71 um     1.28 um     5226 A   
  90.00 MeV   1.661E+03  1.190E+00   44.56 um     1.52 um     5505 A   
 100.00 MeV   1.578E+03  1.085E+00   50.73 um     1.76 um     5800 A   
 110.00 MeV   1.505E+03  9.975E-01   57.22 um     1.98 um     6113 A   
 120.00 MeV   1.439E+03  9.239E-01   64.01 um     2.21 um     6443 A   
 130.00 MeV   1.380E+03  8.609E-01   71.10 um     2.43 um     6790 A   
 140.00 MeV   1.326E+03  8.063E-01   78.49 um     2.64 um     7153 A   
 150.00 MeV   1.277E+03  7.586E-01   86.17 um     2.86 um     7533 A   
 160.00 MeV   1.231E+03  7.165E-01   94.15 um     3.08 um     7928 A   
 170.00 MeV   1.189E+03  6.790E-01  102.41 um     3.29 um     8339 A   
 180.00 MeV   1.150E+03  6.454E-01  110.96 um     3.51 um     8765 A   
 200.00 MeV   1.079E+03  5.878E-01  128.91 um     4.34 um     9662 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  8.0610E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
