 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12+_in_He150torr.txt

 Ion = Magnesium [12] , Mass = 23.9785 amu

 Target Density =  3.2096E-05 g/cm3 = 4.8284E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   4.175E-02  4.149E-04  149.26 mm     6.30 mm     8.31 mm  
   3.00 MeV   4.430E-02  3.868E-04  155.00 mm     6.38 mm     8.39 mm  
   3.25 MeV   4.663E-02  3.624E-04  160.45 mm     6.44 mm     8.46 mm  
   3.50 MeV   4.876E-02  3.412E-04  165.64 mm     6.50 mm     8.53 mm  
   3.75 MeV   5.069E-02  3.226E-04  170.63 mm     6.55 mm     8.58 mm  
   4.00 MeV   5.246E-02  3.060E-04  175.44 mm     6.60 mm     8.64 mm  
   4.50 MeV   5.555E-02  2.778E-04  184.63 mm     6.75 mm     8.73 mm  
   5.00 MeV   5.815E-02  2.546E-04  193.38 mm     6.88 mm     8.80 mm  
   5.50 MeV   6.034E-02  2.353E-04  201.77 mm     7.00 mm     8.87 mm  
   6.00 MeV   6.219E-02  2.189E-04  209.90 mm     7.11 mm     8.93 mm  
   6.50 MeV   6.377E-02  2.048E-04  217.80 mm     7.21 mm     8.98 mm  
   7.00 MeV   6.512E-02  1.925E-04  225.53 mm     7.30 mm     9.03 mm  
   8.00 MeV   6.727E-02  1.721E-04  240.59 mm     7.62 mm     9.11 mm  
   9.00 MeV   6.885E-02  1.559E-04  255.23 mm     7.91 mm     9.18 mm  
  10.00 MeV   7.001E-02  1.426E-04  269.60 mm     8.18 mm     9.25 mm  
  11.00 MeV   7.083E-02  1.316E-04  283.77 mm     8.43 mm     9.31 mm  
  12.00 MeV   7.139E-02  1.222E-04  297.80 mm     8.67 mm     9.36 mm  
  13.00 MeV   7.175E-02  1.142E-04  311.74 mm     8.90 mm     9.41 mm  
  14.00 MeV   7.193E-02  1.072E-04  325.64 mm     9.12 mm     9.46 mm  
  15.00 MeV   7.196E-02  1.010E-04  339.51 mm     9.34 mm     9.50 mm  
  16.00 MeV   7.189E-02  9.562E-05  353.39 mm     9.55 mm     9.55 mm  
  17.00 MeV   7.171E-02  9.078E-05  367.30 mm     9.76 mm     9.59 mm  
  18.00 MeV   7.146E-02  8.644E-05  381.25 mm     9.96 mm     9.63 mm  
  20.00 MeV   7.076E-02  7.895E-05  409.34 mm    10.74 mm     9.70 mm  
  22.50 MeV   6.962E-02  7.133E-05  444.92 mm    11.87 mm     9.79 mm  
  25.00 MeV   6.831E-02  6.513E-05  481.14 mm    12.94 mm     9.88 mm  
  27.50 MeV   6.689E-02  5.997E-05  518.09 mm    13.96 mm     9.96 mm  
  30.00 MeV   6.542E-02  5.561E-05  555.85 mm    14.96 mm    10.05 mm  
  32.50 MeV   6.393E-02  5.187E-05  594.48 mm    15.93 mm    10.13 mm  
  35.00 MeV   6.244E-02  4.863E-05  634.02 mm    16.89 mm    10.21 mm  
  37.50 MeV   6.097E-02  4.579E-05  674.51 mm    17.85 mm    10.30 mm  
  40.00 MeV   5.954E-02  4.329E-05  715.97 mm    18.79 mm    10.38 mm  
  45.00 MeV   5.678E-02  3.905E-05  801.93 mm    22.39 mm    10.55 mm  
  50.00 MeV   5.448E-02  3.561E-05  891.79 mm    25.76 mm    10.73 mm  
  55.00 MeV   5.227E-02  3.275E-05  985.45 mm    28.98 mm    10.92 mm  
  60.00 MeV   4.995E-02  3.034E-05    1.08 m     32.12 mm    11.12 mm  
  65.00 MeV   4.799E-02  2.828E-05    1.19 m     35.23 mm    11.33 mm  
  70.00 MeV   4.618E-02  2.649E-05    1.29 m     38.31 mm    11.54 mm  
  80.00 MeV   4.295E-02  2.354E-05    1.52 m     49.78 mm    12.01 mm  
  90.00 MeV   4.016E-02  2.121E-05    1.76 m     60.33 mm    12.53 mm  
 100.00 MeV   3.774E-02  1.932E-05    2.01 m     70.44 mm    13.10 mm  
 110.00 MeV   3.561E-02  1.776E-05    2.29 m     80.33 mm    13.72 mm  
 120.00 MeV   3.374E-02  1.643E-05    2.57 m     90.11 mm    14.40 mm  
 130.00 MeV   3.206E-02  1.530E-05    2.88 m     99.86 mm    15.12 mm  
 140.00 MeV   3.056E-02  1.433E-05    3.20 m    109.62 mm    15.91 mm  
 150.00 MeV   2.921E-02  1.347E-05    3.53 m    119.42 mm    16.74 mm  
 160.00 MeV   2.797E-02  1.272E-05    3.88 m    129.29 mm    17.62 mm  
 170.00 MeV   2.684E-02  1.205E-05    4.25 m    139.23 mm    18.56 mm  
 180.00 MeV   2.580E-02  1.145E-05    4.63 m    149.26 mm    19.54 mm  
 200.00 MeV   2.394E-02  1.042E-05    5.43 m    187.75 mm    21.67 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.1158E+02                keV / (ug/cm2) 
  3.1158E+02                MeV / (mg/cm2) 
  3.1158E+05                keV / (mg/cm2) 
  2.0711E+03                 eV / (1E15 atoms/cm2)
  3.1099E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
