 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13+_in_He100torr.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  2.1397E-05 g/cm3 = 3.2189E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   3.162E-02  3.886E-04  175.69 mm     7.13 mm     9.02 mm  
   3.00 MeV   3.339E-02  3.625E-04  183.28 mm     7.24 mm     9.14 mm  
   3.25 MeV   3.501E-02  3.400E-04  190.50 mm     7.34 mm     9.25 mm  
   3.50 MeV   3.650E-02  3.203E-04  197.41 mm     7.43 mm     9.34 mm  
   3.75 MeV   3.787E-02  3.030E-04  204.07 mm     7.51 mm     9.43 mm  
   4.00 MeV   3.913E-02  2.876E-04  210.50 mm     7.59 mm     9.50 mm  
   4.50 MeV   4.139E-02  2.613E-04  222.82 mm     7.82 mm     9.64 mm  
   5.00 MeV   4.334E-02  2.398E-04  234.54 mm     8.02 mm     9.76 mm  
   5.50 MeV   4.505E-02  2.217E-04  245.78 mm     8.20 mm     9.86 mm  
   6.00 MeV   4.655E-02  2.064E-04  256.64 mm     8.36 mm     9.95 mm  
   6.50 MeV   4.788E-02  1.932E-04  267.17 mm     8.51 mm    10.03 mm  
   7.00 MeV   4.907E-02  1.817E-04  277.44 mm     8.65 mm    10.10 mm  
   8.00 MeV   5.109E-02  1.626E-04  297.32 mm     9.13 mm    10.23 mm  
   9.00 MeV   5.271E-02  1.474E-04  316.52 mm     9.54 mm    10.35 mm  
  10.00 MeV   5.402E-02  1.349E-04  335.20 mm     9.92 mm    10.45 mm  
  11.00 MeV   5.507E-02  1.246E-04  353.48 mm    10.27 mm    10.54 mm  
  12.00 MeV   5.591E-02  1.157E-04  371.46 mm    10.59 mm    10.62 mm  
  13.00 MeV   5.656E-02  1.082E-04  389.20 mm    10.90 mm    10.70 mm  
  14.00 MeV   5.706E-02  1.016E-04  406.76 mm    11.19 mm    10.77 mm  
  15.00 MeV   5.742E-02  9.583E-05  424.20 mm    11.47 mm    10.83 mm  
  16.00 MeV   5.767E-02  9.071E-05  441.54 mm    11.74 mm    10.90 mm  
  17.00 MeV   5.783E-02  8.615E-05  458.82 mm    12.00 mm    10.96 mm  
  18.00 MeV   5.789E-02  8.205E-05  476.08 mm    12.25 mm    11.02 mm  
  20.00 MeV   5.781E-02  7.499E-05  510.59 mm    13.20 mm    11.13 mm  
  22.50 MeV   5.741E-02  6.779E-05  553.93 mm    14.57 mm    11.26 mm  
  25.00 MeV   5.676E-02  6.192E-05  597.67 mm    15.85 mm    11.38 mm  
  27.50 MeV   5.595E-02  5.704E-05  641.99 mm    17.05 mm    11.50 mm  
  30.00 MeV   5.503E-02  5.292E-05  687.00 mm    18.22 mm    11.61 mm  
  32.50 MeV   5.404E-02  4.938E-05  732.80 mm    19.34 mm    11.73 mm  
  35.00 MeV   5.302E-02  4.631E-05  779.46 mm    20.45 mm    11.84 mm  
  37.50 MeV   5.197E-02  4.362E-05  827.05 mm    21.54 mm    11.95 mm  
  40.00 MeV   5.092E-02  4.124E-05  875.61 mm    22.62 mm    12.07 mm  
  45.00 MeV   4.886E-02  3.722E-05  975.79 mm    26.71 mm    12.29 mm  
  50.00 MeV   4.688E-02  3.396E-05    1.08 m     30.53 mm    12.53 mm  
  55.00 MeV   4.529E-02  3.124E-05    1.19 m     34.18 mm    12.77 mm  
  60.00 MeV   4.361E-02  2.895E-05    1.30 m     37.72 mm    13.01 mm  
  65.00 MeV   4.190E-02  2.699E-05    1.42 m     41.20 mm    13.27 mm  
  70.00 MeV   4.043E-02  2.529E-05    1.54 m     44.65 mm    13.54 mm  
  80.00 MeV   3.780E-02  2.249E-05    1.80 m     57.48 mm    14.11 mm  
  90.00 MeV   3.551E-02  2.027E-05    2.07 m     69.26 mm    14.72 mm  
 100.00 MeV   3.351E-02  1.847E-05    2.36 m     80.51 mm    15.39 mm  
 110.00 MeV   3.176E-02  1.698E-05    2.66 m     91.45 mm    16.11 mm  
 120.00 MeV   3.020E-02  1.572E-05    2.99 m    102.24 mm    16.88 mm  
 130.00 MeV   2.881E-02  1.464E-05    3.33 m    112.94 mm    17.70 mm  
 140.00 MeV   2.756E-02  1.371E-05    3.68 m    123.61 mm    18.57 mm  
 150.00 MeV   2.643E-02  1.290E-05    4.05 m    134.27 mm    19.50 mm  
 160.00 MeV   2.540E-02  1.218E-05    4.44 m    144.96 mm    20.47 mm  
 170.00 MeV   2.446E-02  1.154E-05    4.84 m    155.69 mm    21.49 mm  
 180.00 MeV   2.358E-02  1.097E-05    5.25 m    166.48 mm    22.57 mm  
 200.00 MeV   2.202E-02  9.982E-06    6.13 m    207.70 mm    24.85 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.6737E+02                keV / (ug/cm2) 
  4.6737E+02                MeV / (mg/cm2) 
  4.6737E+05                keV / (mg/cm2) 
  3.1066E+03                 eV / (1E15 atoms/cm2)
  4.1153E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
