 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si14+_in_He150torr.txt

 Ion = Silicon [14] , Mass = 25.9847 amu

 Target Density =  3.2096E-05 g/cm3 = 4.8284E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.203E-03  1.142E-02  795.42 um   145.80 um   124.95 um  
  11.00 keV   2.311E-03  1.132E-02  864.00 um   156.44 um   134.31 um  
  12.00 keV   2.414E-03  1.122E-02  932.65 um   166.95 um   143.56 um  
  13.00 keV   2.512E-03  1.111E-02    1.00 mm   177.32 um   152.73 um  
  14.00 keV   2.607E-03  1.100E-02    1.07 mm   187.58 um   161.83 um  
  15.00 keV   2.699E-03  1.088E-02    1.14 mm   197.74 um   170.88 um  
  16.00 keV   2.787E-03  1.077E-02    1.21 mm   207.80 um   179.87 um  
  17.00 keV   2.873E-03  1.065E-02    1.28 mm   217.78 um   188.82 um  
  18.00 keV   2.956E-03  1.054E-02    1.35 mm   227.68 um   197.72 um  
  20.00 keV   3.116E-03  1.031E-02    1.49 mm   247.59 um   215.44 um  
  22.50 keV   3.305E-03  1.004E-02    1.67 mm   272.22 um   237.45 um  
  25.00 keV   3.484E-03  9.776E-03    1.84 mm   296.37 um   259.31 um  
  27.50 keV   3.654E-03  9.526E-03    2.02 mm   320.09 um   281.05 um  
  30.00 keV   3.816E-03  9.289E-03    2.20 mm   343.41 um   302.69 um  
  32.50 keV   3.972E-03  9.064E-03    2.39 mm   366.35 um   324.23 um  
  35.00 keV   4.122E-03  8.851E-03    2.57 mm   388.94 um   345.69 um  
