 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26Si13+_in_He50torr.txt

 Ion = Silicon [14] , Mass = 25.9852 amu

 Target Density =  1.0699E-05 g/cm3 = 1.6095E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.345E-04  3.806E-03    2.39 mm   437.39 um   374.85 um  
  11.00 keV   7.703E-04  3.774E-03    2.59 mm   469.32 um   402.90 um  
  12.00 keV   8.046E-04  3.739E-03    2.80 mm   500.82 um   430.66 um  
  13.00 keV   8.374E-04  3.703E-03    3.00 mm   531.94 um   458.18 um  
  14.00 keV   8.690E-04  3.665E-03    3.21 mm   562.72 um   485.49 um  
  15.00 keV   8.995E-04  3.627E-03    3.42 mm   593.19 um   512.61 um  
  16.00 keV   9.290E-04  3.589E-03    3.63 mm   623.39 um   539.59 um  
  17.00 keV   9.576E-04  3.550E-03    3.83 mm   653.32 um   566.43 um  
  18.00 keV   9.854E-04  3.512E-03    4.04 mm   683.01 um   593.14 um  
  20.00 keV   1.039E-03  3.437E-03    4.47 mm   742.73 um   646.31 um  
  22.50 keV   1.102E-03  3.346E-03    4.99 mm   816.62 um   712.31 um  
  25.00 keV   1.161E-03  3.259E-03    5.53 mm   889.07 um   777.89 um  
  27.50 keV   1.218E-03  3.176E-03    6.07 mm   960.22 um   843.12 um  
  30.00 keV   1.272E-03  3.097E-03    6.61 mm     1.03 mm   908.03 um  
  32.50 keV   1.324E-03  3.022E-03    7.16 mm     1.10 mm   972.67 um  
  35.00 keV   1.374E-03  2.950E-03    7.70 mm     1.17 mm     1.04 mm  
