 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13+_in_He50torr.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  1.0699E-05 g/cm3 = 1.6095E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.703E-04  3.514E-03    2.61 mm   489.38 um   416.44 um  
  11.00 keV   4.933E-04  3.477E-03    2.84 mm   527.07 um   449.07 um  
  12.00 keV   5.152E-04  3.438E-03    3.08 mm   564.44 um   481.52 um  
  13.00 keV   5.362E-04  3.398E-03    3.32 mm   601.55 um   513.85 um  
  14.00 keV   5.565E-04  3.358E-03    3.55 mm   638.42 um   546.08 um  
  15.00 keV   5.760E-04  3.317E-03    3.79 mm   675.09 um   578.24 um  
  16.00 keV   5.949E-04  3.277E-03    4.04 mm   711.58 um   610.36 um  
  17.00 keV   6.132E-04  3.238E-03    4.28 mm   747.91 um   642.45 um  
  18.00 keV   6.310E-04  3.198E-03    4.52 mm   784.08 um   674.54 um  
  20.00 keV   6.651E-04  3.122E-03    5.02 mm   857.25 um   738.77 um  
  22.50 keV   7.055E-04  3.031E-03    5.64 mm   948.50 um   819.20 um  
  25.00 keV   7.436E-04  2.944E-03    6.28 mm     1.04 mm   899.84 um  
  27.50 keV   7.799E-04  2.863E-03    6.93 mm     1.13 mm   980.74 um  
  30.00 keV   8.146E-04  2.786E-03    7.58 mm     1.22 mm     1.06 mm  
  32.50 keV   8.479E-04  2.713E-03    8.24 mm     1.30 mm     1.14 mm  
  35.00 keV   8.799E-04  2.645E-03    8.91 mm     1.39 mm     1.23 mm  
