 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg12+_in_He100torr.txt

 Ion = Magnesium [12] , Mass = 23.9785 amu

 Target Density =  2.1397E-05 g/cm3 = 3.2189E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.685E-04  6.428E-03    1.40 mm   266.42 um   225.55 um  
  11.00 keV   8.060E-04  6.345E-03    1.53 mm   287.64 um   243.76 um  
  12.00 keV   8.419E-04  6.261E-03    1.66 mm   308.74 um   261.93 um  
  13.00 keV   8.762E-04  6.176E-03    1.80 mm   329.73 um   280.08 um  
  14.00 keV   9.093E-04  6.091E-03    1.93 mm   350.64 um   298.23 um  
  15.00 keV   9.412E-04  6.007E-03    2.06 mm   371.48 um   316.38 um  
  16.00 keV   9.721E-04  5.925E-03    2.20 mm   392.25 um   334.56 um  
  17.00 keV   1.002E-03  5.844E-03    2.33 mm   412.97 um   352.76 um  
  18.00 keV   1.031E-03  5.765E-03    2.47 mm   433.64 um   371.00 um  
  20.00 keV   1.087E-03  5.612E-03    2.75 mm   475.54 um   407.63 um  
  22.50 keV   1.153E-03  5.431E-03    3.10 mm   527.97 um   453.70 um  
  25.00 keV   1.215E-03  5.262E-03    3.47 mm   580.01 um   500.10 um  
  27.50 keV   1.274E-03  5.104E-03    3.83 mm   631.70 um   546.84 um  
  30.00 keV   1.331E-03  4.956E-03    4.21 mm   683.08 um   593.91 um  
  32.50 keV   1.385E-03  4.818E-03    4.59 mm   734.15 um   641.31 um  
  35.00 keV   1.438E-03  4.688E-03    4.97 mm   784.93 um   689.01 um  
