 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\25Al13+_in_He100torr.txt

 Ion = Aluminum [13] , Mass = 24.9833 amu

 Target Density =  2.1397E-05 g/cm3 = 3.2189E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.406E-04  7.028E-03    1.30 mm   244.70 um   208.23 um  
  11.00 keV   9.865E-04  6.953E-03    1.42 mm   263.55 um   224.54 um  
  12.00 keV   1.030E-03  6.876E-03    1.54 mm   282.23 um   240.77 um  
  13.00 keV   1.072E-03  6.796E-03    1.66 mm   300.79 um   256.94 um  
  14.00 keV   1.113E-03  6.715E-03    1.78 mm   319.23 um   273.05 um  
  15.00 keV   1.152E-03  6.635E-03    1.90 mm   337.56 um   289.13 um  
  16.00 keV   1.190E-03  6.554E-03    2.02 mm   355.81 um   305.19 um  
  17.00 keV   1.226E-03  6.475E-03    2.14 mm   373.97 um   321.24 um  
  18.00 keV   1.262E-03  6.397E-03    2.26 mm   392.06 um   337.28 um  
  20.00 keV   1.330E-03  6.244E-03    2.51 mm   428.64 um   369.40 um  
  22.50 keV   1.411E-03  6.061E-03    2.82 mm   474.27 um   409.62 um  
  25.00 keV   1.487E-03  5.888E-03    3.14 mm   519.40 um   449.94 um  
  27.50 keV   1.560E-03  5.725E-03    3.46 mm   564.10 um   490.39 um  
  30.00 keV   1.629E-03  5.571E-03    3.79 mm   608.39 um   530.98 um  
  32.50 keV   1.696E-03  5.426E-03    4.12 mm   652.31 um   571.70 um  
  35.00 keV   1.760E-03  5.289E-03    4.46 mm   695.87 um   612.56 um  
